A̱o,Trimestre,Mbps (Media de bajada)
2014,1,3.6171267670209
2014,2,3.75871218894443
2014,3,3.86726501227843
2014,4,4.15688796190556
2015,1,4.35027886167618
2015,2,4.54538147818226
2015,3,4.78891116867562
2015,4,4.99044890054109
2016,1,5.08370177629755
2016,2,5.42353097512933
2016,3,5.9387765869846
2016,4,6.33738413446842
2017,1,6.62407908134137
2017,2,7.15995552367739
2017,3,8.33904815764714
2017,4,12.0076260812107
2018,1,13.221339833489
2018,2,13.8495399422441
2018,3,15.36
2018,4,15.95
2019,1,17.38
2019,2,20.33
2019,3,24.18
2019,4,28.26
2020,1,37.52
2020,2,38.32
2020,3,40.67
2020,4,42.36
2021,1,43.11
2021,2,45.63
2021,3,48.46
2021,4,52.34
2022,1,55.11
2022,2,58.44
2022,3,62.46
2022,4,106.56
2023,1,110.5
2023,2,123.95
2023,3,129.67
2023,4,139.04
2024,1,139.15
2024,2,139.25
